genre	filename	sentence1	sentence2	score
main-captions	MSRvid	En man skär upp en potatis.	En man skär upp morötter.	2.375
main-captions	MSRvid	Ett barn spelar gitarr.	En pojke spelar en gitarr.	3.8
main-captions	MSRvid	En pojke spelar gitarr.	En man spelar en gitarr.	3.2
main-captions	MSRvid	En man spelar gitarr.	En pojke spelar en gitarr.	3.2
main-captions	MSRvid	En liten pojke spelar ett tangentbord.	En pojke spelar tangentbord.	4.4
main-captions	MSRvid	En man spelar en gitarr.	En man spelar en elgitarr.	3.75
main-captions	MSRvid	En hund slickar en baby.	En hund slickar en baby.	4.75
main-captions	MSRvid	En kvinna skär en lök.	En man skär och lök.	3.2
main-captions	MSRvid	En man spelar gitarren.	En man spelar trummorna.	1.556
main-captions	MSRvid	En kvinna skär en peppar.	En kvinna skär en röd paprika.	3.938
main-captions	MSRvid	En man spelar trummorna.	En man spelar trumman.	5.0
main-captions	MSRvid	En kvinna rider på en häst.	En kvinna rider på en häst.	5.0
main-captions	MSRvid	En man äter en banan vid ett träd.	En man äter en banan.	4.0
main-captions	MSRvid	En katt spelar ett tangentbord.	En man spelar två tangentbord.	1.6
main-captions	MSRvid	En man hugger ner ett träd med en yxa.	En man klippte ett träd med en yxa.	4.75
main-captions	MSRvid	Ett barn leker med en leksakstelefon.	En liten pojke leker med en leksakstelefon.	3.5
main-captions	MSRvid	En man rider på en motorcykel.	En man rider på en häst.	1.4
main-captions	MSRvid	En man rider på en motorcykel.	En man rider på en häst.	1.4
main-captions	MSRvid	En ekorre snurrar runt i cirklar.	En ekorre springer runt i cirklar.	4.0
main-captions	MSRvid	En man och en kvinna kysser.	En kyss för man och kvinna.	5.0
main-captions	MSRvid	En man kommer in i en bil.	En man kommer in i en bil i ett garage.	3.833
main-captions	MSRvid	En man dansar.	En man pratar.	0.6
main-captions	MSRvid	En man spelar gitarr och sjunger.	En man spelar gitarren.	2.917
main-captions	MSRvid	En person klipper svamp.	En person klipper svamp med en kniv.	4.2
main-captions	MSRvid	En tigerunga ljuder.	En tiger går runt.	2.0
main-captions	MSRvid	En person skivar lök.	En person skalar en lök.	2.6
main-captions	MSRvid	En man spelar piano.	En man spelar trumpet.	1.6
main-captions	MSRvid	En kvinna skalar en potatis.	En kvinna skalar ett äpple.	2.0
main-captions	MSRvid	En pankda äter bambu.	En pandabjörn äter lite bambu.	4.2
main-captions	MSRvid	En person skalar en lök.	En person skalar en aubergine.	2.0
main-captions	MSRvid	En apa skjuter en annan apa.	Apan pressade den andra apan.	4.8
main-captions	MSRvid	En ekorre springer runt i cirklar.	En ekorre rör sig i cirklar.	4.4
main-captions	MSRvid	En man knyter skorna.	En man knyter skorna.	5.0
main-captions	MSRvid	En pojke sjunger och spelar piano.	En pojke spelar piano.	3.0
main-captions	MSRvid	En hund äter vattenmelon.	En hund äter en bit vattenmelon.	4.25
main-captions	MSRvid	En kvinna hugger broccoli.	En kvinna hugger broccoli med en kniv.	4.25
main-captions	MSRvid	En man skalar en potatis.	En man skalade en potatoe.	3.8
main-captions	MSRvid	En kvinna spelar en gitarr.	En man spelar en gitarr.	2.4
main-captions	MSRvid	En kvinna skivar tomat.	En man skivar lök.	1.6
main-captions	MSRvid	En man simmar under vattnet.	En kvinna simmar under vattnet.	2.0
main-captions	MSRvid	En man och en kvinna pratar.	En man och kvinna äter.	1.6
main-captions	MSRvid	En liten hund jagar en yogakula.	En hund jagar en boll.	4.0
main-captions	MSRvid	Män spelar cricket.	Män spelar basket.	2.2
main-captions	MSRvid	En man åker på en motorcykel.	En man rider på en motorcykel.	4.4
main-captions	MSRvid	En man spelar en gitarr.	En man sjunger och spelar en gitarr.	3.6
main-captions	MSRvid	Mannen pratade i telefon.	Mannen pratar i telefon.	3.6
main-captions	MSRvid	En man fiskar.	En man tränar.	0.5
main-captions	MSRvid	En man viftar.	En man pratar.	0.8
main-captions	MSRvid	Två pojkar kör.	Två vikar dansar.	0.6
main-captions	MSRvid	En man rider på en häst.	En flicka rider på en häst.	2.6
main-captions	MSRvid	En man cyklar.	En apa cyklar.	2.0
main-captions	MSRvid	En man skivar potatis.	En kvinna skalar potatis.	2.2
main-captions	MSRvid	En kvinna skalar en potatis.	En man skivar potatis.	2.4
main-captions	MSRvid	En man spelar en gitarr.	Someoen spelar gitarr.	3.6
main-captions	MSRvid	En kvinna skivar en purjolök.	En kvinna skivar ingefära.	2.2
main-captions	MSRvid	Mannen klippte en pappersplatta.	En man skär en pappersplatta.	4.8
main-captions	MSRvid	Mannen spelar gitarr.	En man spelar flöjten.	1.643
main-captions	MSRvid	En man spelar piano.	Mannen spelar fiolen.	1.75
main-captions	MSRvid	En kvinna skär upp lite kött.	En kvinna bryter lite kött.	2.25
main-captions	MSRvid	En man spelar på sitt tangentbord.	En man spelar ett tangentbordspiano.	4.0
main-captions	MSRvid	Damen hackade de gröna lökarna.	Damen klippte upp en grön lök.	4.8
main-captions	MSRvid	Någon sitter på nudlar i vatten.	En kvinna kokar nudlar i vatten.	3.2
main-captions	MSRvid	Lionel Richie dansar i taket.	Lionel Ritchie dansar när han står på taket.	4.0
main-captions	MSRvid	En man spelar piano.	En person spelar piano.	4.4
main-captions	MSRvid	En kvinna spelar flöjt.	En kvinna spelar på en flöjt.	4.6
main-captions	MSRvid	En pojke kontrollerar en kalender.	En pojke tittar på en kalender.	3.8
main-captions	MSRvid	En kvinna skär en lök.	En kvinna hugger lök.	4.8
main-captions	MSRvid	En man spelar gitarr.	En man spelar en gitarr.	4.857
main-captions	MSRvid	En kvinna använder en symaskin.	En kvinna syr på en maskin.	5.0
main-captions	MSRvid	En kvinna vänder pannkakor.	En tecknad kock vänder pannkakor.	2.533
main-captions	MSRvid	En man springer på vägen.	En bil kör på vägen.	1.0
main-captions	MSRvid	En man rider på en häst.	En man pratar i telefon.	1.0
main-captions	MSRvid	En man cyklar.	En man rider på en häst.	2.0
main-captions	MSRvid	En kvinna dansar.	En man äter.	0.14300000000000002
main-captions	MSRvid	En man spelar piano.	En man spelar en flöjt.	2.0
main-captions	MSRvid	En man spelar en flöjt.	En man spelar piano.	1.6
main-captions	MSRvid	En man snurrar.	En man dansar.	1.6
main-captions	MSRvid	En apa svänger från lem till lem.	En apa svänger från träd till träd.	3.4
main-captions	MSRvid	Folket gick av tåget.	Folket gick av tåget på stationen.	4.0
main-captions	MSRvid	En hund hoppar på en trampolin.	En hund studsar på en trampolin.	4.8
main-captions	MSRvid	En pojke spelar ett instrument.	En man spelar en trumpet.	2.5
main-captions	MSRvid	En kvinna spelar gitarren.	En man sjunger och spelar gitarr.	1.75
main-captions	MSRvid	En kvinna plockar en burk.	En kvinna skär en tomat.	1.0
main-captions	MSRvid	En man klättrar på ett rep.	En man klättrar upp ett rep.	5.0
main-captions	MSRvid	En man lyfter en bil.	En man klättrar på en vägg.	1.4
main-captions	MSRvid	En man och kvinna kör ner på gatan i en jeep.	En man och en kvinna kör på vägen i ett utomhusfordon.	4.0
main-captions	MSRvid	Den skjortlösa mannen satt i en stol.	En shirtless man sitter på en stol.	3.8
main-captions	MSRvid	Två kvinnor brottas.	Två kvinnor brottas på golvet.	4.0
main-captions	MSRvid	Valpen lekte med en blå tennisboll.	En valp leker med en tennisboll.	4.0
main-captions	MSRvid	En kangroo äter något.	En känguru äter.	4.8
main-captions	MSRvid	En katt spelar ett piano.	En man spelar en gitarr.	0.6
main-captions	MSRvid	Mannen klippte en matta med en kniv.	En man klipper mattan med en kniv.	4.75
main-captions	MSRvid	En kvinna rider på en motoriserad skoter på en väg.	En man rider på en motorscooter.	2.2
main-captions	MSRvid	någon skär en grönsak.	Någon skivar en tomat.	3.0
main-captions	MSRvid	En kvinna dansar.	En man pratar.	0.0
main-captions	MSRvid	En hund slickar upp en bebis dräkt.	En hund slickar en baby.	2.2
main-captions	MSRvid	En man roddar en båt.	En man skär en tomat.	0.4
main-captions	MSRvid	En man skär upp potatis.	En man skivar potatis.	4.8
main-captions	MSRvid	En kvinna hugger upp vitlök.	Kvinnan tärnar vitlök.	4.8
main-captions	MSRvid	Ett djur kör i cirklar.	En ekorre springer i cirklar.	3.8
main-captions	MSRvid	En man går långsamt över en repbro.	En pojke går över en bro.	3.0
main-captions	MSRvid	En man spelar gitarren.	En man som sitter i ett rum spelar gitarren.	4.0
main-captions	MSRvid	En man spelar flöjten.	En man spelar en flöjt.	5.0
main-captions	MSRvid	En kvinna sprickar två ägg i en glasskål.	En kvinna knäcker ett ägg i en skål.	3.8
main-captions	MSRvid	En man skär en fisk.	En man tar en fisk.	3.0
main-captions	MSRvid	Två män packar resväskor i bagagerummet i en bil.	Männa sätter resväskor i bilens bagageutrymme.	4.4
main-captions	MSRvid	En man häller olja på några tomater.	Mannen hällde olja på de skurna tomaterna.	3.8
main-captions	MSRvid	En man skär något.	En man skär en bulle.	3.0
main-captions	MSRvid	En man paddlar en kanot.	En man spelar en harpa.	0.667
main-captions	MSRvid	En man och en kvinna går tillsammans genom skogen.	En man och kvinna går arm i arm genom ett skogsområde.	4.0
main-captions	MSRvid	Kvinnan plockade upp känguru.	En kvinna plockar upp en baby-känguru.	3.75
main-captions	MSRvid	Fisk simmar.	En fisk simmar.	4.133
main-captions	MSRvid	Två kvinnor blandar något i en matprocessor.	Två kvinnor gör något i en mixer.	4.0
main-captions	MSRvid	En person surfar på en stor våg.	En person surfar.	3.6
main-captions	MSRvid	En man spelar en gitarr.	En man sticker ett mål.	1.2
main-captions	MSRvid	En man spelar en flöjt i ett band.	En man spelar en gitarr.	1.6
main-captions	MSRvid	Mannen sprider smör på brödet.	En man sprider smör på bröd.	4.0
main-captions	MSRvid	En person kokar nudlar.	En kvinna kokar nudlar i vatten.	4.0
main-captions	MSRvid	En grupp människor dansar på en kulle.	En grupp människor dansar.	3.2
main-captions	MSRvid	En man dansar utanför.	En man spelar flöjt.	1.0
main-captions	MSRvid	En kvinna matar en man.	En kvinna blandar kött.	1.0
main-captions	MSRvid	En man sätter en kastrull i en ugn.	En kvinna skär en lök.	0.6
main-captions	MSRvid	En kvinna sitter vid ett skrivbord.	En kvinna rider på ett åsna.	0.4
main-captions	MSRvid	Läkare transporterar en patient på en bår.	En läkare rusar en patient på en bår.	3.4
main-captions	MSRvid	En kvinna spelar en flöjt på scenen.	Kvinnan spelar flöjten.	3.6
main-captions	MSRvid	Två babypandor spelar.	Två pandor ligger tillsammans.	3.0
main-captions	MSRvid	En baby skrattar.	En baby skrattar och fnissar.	4.0
main-captions	MSRvid	En man spelar en gitarr.	En pojke spelar ett piano.	1.2
main-captions	MSRvid	En man fälls papper.	En kvinna skär en peppar.	0.6
main-captions	MSRvid	Tre kvinnor dansar.	Mannen dansar.	1.6
main-captions	MSRvid	Katterna leker med varandra.	Två katter kämpar mot varandra.	2.6
main-captions	MSRvid	En person skriver.	En person skriver med en penna.	3.6
main-captions	MSRvid	En man springer.	En man springer nerför en väg.	3.5
main-captions	MSRvid	Kvinnan rullar degen.	En kvinna blomstrar och rullar deg.	3.765
main-captions	MSRvid	En kvinna lägger till kryddor på ett kött.	Kvinnan lägger socker till kött.	2.75
main-captions	MSRvid	En kvinna lägger till olja på fiskar.	En kvinna häller vatten på fisken.	2.25
main-captions	MSRvid	En ung pojke håller en gitarr.	En liten pojke spelar en gitarr.	2.75
main-captions	MSRvid	En gepard springer.	En gepard springer över ett fält.	3.8
main-captions	MSRvid	Mannen äter pizza.	En man äter en bit pizza.	4.8
main-captions	MSRvid	En orangutang rider på en buss.	En apa rider på en buss.	3.6
main-captions	MSRvid	En man och en kvinna pratar i en restaurang.	En man och en kvinna rider på en cykel.	1.2
main-captions	MSRvid	En man spelar en gitarr.	En man städar en glasdörr.	0.4
main-captions	MSRvid	En flicka sjunger och spelar en gitarr.	En ung man sjunger medan han spelar gitarr.	2.4
main-captions	MSRvid	En flicka kommunicerar med teckenspråk.	En ung flicka använder teckenspråk.	3.9410000000000003
main-captions	MSRvid	En kvinna gör viktövningar.	En kvinna gör sitt hår.	0.5
main-captions	MSRvid	En man kommer in i en bil.	En äldre man kommer in i en röd bil.	3.75
main-captions	MSRvid	En stor grön boll slår en potatis över.	En stor grön boll träffar en potatis.	4.0
main-captions	MSRvid	En katt spelar tangentbord.	En katt spelar ett piano.	3.0
main-captions	MSRvid	Två hundar simmar i en pool.	Hundar simmar i en pool.	4.2
main-captions	MSRvid	Mannen använde en hackare för att hugga löken.	Mannen använde en maskin för att hugga upp en potatoe.	2.0
main-captions	MSRvid	En kvinna skivar tofu.	En kvinna skär tofu.	5.0
main-captions	MSRvid	En hjort hjort korsar gatan.	En besättning av karibu korsar en väg.	3.0
main-captions	MSRvid	Personen rider på hästen.	En man rider på en häst.	3.8
main-captions	MSRvid	Någon matar ett djur.	Någon spelar piano.	0.0
main-captions	MSRvid	Någon skivar tortila.	Någon rider på en häst.	0.0
main-captions	MSRvid	Någon blandar ingredienser.	Någon sy saker.	0.25
main-captions	MSRvid	En tupp plockar på en död mus.	En kyckling pirker på en död mus.	4.0
main-captions	MSRvid	En kvinna har en känguru.	En kvinna plockar upp en känguru.	3.25
main-captions	MSRvid	En man leker med grodor	En katt leker med en kamera.	0.75
main-captions	MSRvid	Två män pratar.	Två män spelar gitarr.	1.5
main-captions	MSRvid	En man sprider smör på en stor bit bröd.	En man smetar smör på en skiva vitlöksbröd.	3.5
main-captions	MSRvid	En man springer över en hög tråd.	En man kör på rep.	3.0
main-captions	MSRvid	En man klipper en gräsmatta.	En kvinna skär en citron.	0.2
main-captions	MSRvid	En man öppnar en dörr.	En man spelar en gitarr.	0.8
main-captions	MSRvid	En man skär en potatis i bitar.	En man skär en potatis.	4.2
main-captions	MSRvid	Kvinnan klipper kokt bläckfisk.	En kvinna hugger bläckfisk.	3.8
main-captions	MSRvid	En man stansar genom brädorna.	En hund rinner genom vatten.	0.4
main-captions	MSRvid	En man dansar.	En man äter bröd.	0.8
main-captions	MSRvid	Någon spelar piano.	En man spelar en gitarr.	1.2
main-captions	MSRvid	Två rävar äter från en tallrik på en tegelterrass.	Rävar äter från en tallrik.	2.8
main-captions	MSRvid	En pojke spelar ett tangentbord.	En pojke spelar piano.	3.2
main-captions	MSRvid	En person spelar ett tangentbord.	Någon spelar ett tangentbord.	5.0
main-captions	MSRvid	En man skjuter på en pistol.	En man spottar.	0.0
main-captions	MSRvid	Någon skivar en lök.	Someoen skalar en potatis.	1.0
main-captions	MSRvid	En man simmar.	En kvinna skivar kött.	0.0
main-captions	MSRvid	En man spelar gitarren.	En man spelar en akustisk gitarr.	3.75
main-captions	MSRvid	En kvinna skär en pumpa.	En kvinna rider på en elefant.	0.4
main-captions	MSRvid	En kvinna dansar.	En kvinna knådar deg.	0.4
main-captions	MSRvid	En kvinna knäcker ägg i en skål.	En kvinna lägger spett på ett rack.	0.6
main-captions	MSRvid	En bil rör sig genom en väg.	En bil kör på vägen.	4.0
main-captions	MSRvid	Någon smörjer en panna.	Smeone lägger sig.	0.4
main-captions	MSRvid	En man spelar gitarr.	En man tappar pasta.	0.4
main-captions	MSRvid	En kvinna dricker vodka.	En kvinna tränar.	0.4
main-captions	MSRvid	En kvinna skär kött i bitar.	En kvinna skär upp lite kött.	4.8
main-captions	MSRvid	En man sköljer en biff.	En man spelar en gitarr.	0.6
main-captions	MSRvid	En man säljer saker.	En man städar huset.	0.8
main-captions	MSRvid	En man hoppar en vägg.	En man hoppar på en kort vägg.	3.2
main-captions	MSRvid	Löpare springer runt en bana.	Löpare tävlar i ett lopp.	3.2
main-captions	MSRvid	En man sparkar en fotboll.	En man blandar en skål.	0.6
main-captions	MSRvid	En kvinna steker något.	En kvinna rider på en häst.	0.6
main-captions	MSRvid	En katt slickar en suger.	En kvinna skivar gurka.	0.0
main-captions	MSRvid	En kvinna dansar vid en eld.	En kvinna tar ett bad.	1.4
main-captions	MSRvid	Mannen skär en fisk öppen.	En man skär en potatis.	2.2
main-captions	MSRvid	Smör smälter i en kastrull.	En man smälter smör i en kastrull.	3.6
main-captions	MSRvid	Tre pojkar dansar.	Barn dansar.	3.111
main-captions	MSRvid	En kvinna spelar ett spel med en man.	En man spelar piano.	0.6
main-captions	MSRvid	Mannen kör en vit bil.	En man håller en intervju.	0.4
main-captions	MSRvid	En man körde sin bil.	En man kör en bil.	4.25
main-captions	MSRvid	En bil ryggar ut ur ett utrymme.	En bil backar ut ur en blockerad körfält.	3.0
main-captions	MSRvid	En man sätter lite ost på en pizza.	Mannen strö ost på pizzaen.	5.0
main-captions	MSRvid	Pojken spelar piano.	En pojke spelar ett piano.	5.0
main-captions	MSRvid	Mannen spelade sin gitarr.	En man spelar en gitarr.	3.75
main-captions	MSRvid	En man rider på en häst.	En man spelar ett tangentbord.	0.2
main-captions	MSRvid	En man går på ett rep.	En man rider på en mo-pad.	0.4
main-captions	MSRvid	En flicka spelar en flöjt.	Ett band spelar på en scen.	1.286
main-captions	MSRvid	Människor stiger av ett tåg.	En grupp människor går av ett tåg.	4.6
main-captions	MSRvid	En kvinna syr på en maskin.	En kvinna bryter lite kött.	0.6
main-captions	MSRvid	En hund tittar in i poolen.	En hund går runt en pool.	2.0
main-captions	MSRvid	En man slår en bit bröd.	En man applicerar smör på bröd.	5.0
main-captions	MSRvid	En man skär tomater i bitar.	En kvinna skär några grönsaker.	1.8
main-captions	MSRvid	Tre tonårsflickor dansade i rummet.	Vissa tonårsflickor dansar för kameran.	2.4
main-captions	MSRvid	En lejon går.	Ett lejon är i en penna.	2.4
main-captions	MSRvid	En man skjuter en bil.	En man skär en potatis.	0.4
main-captions	MSRvid	En svart häst springer runt.	Hästen springer.	4.2
main-captions	MSRvid	En kvinna utvecklar räkor.	En man dansar i regn.	0.0
main-captions	MSRvid	En man rider på en häst.	En kvinna tvättar en frys.	0.0
main-captions	MSRvid	En man går nerför en stig.	En man går över ett tätt rep.	0.8
main-captions	MSRvid	En man skär en potatis.	En kvinna skär en jalepeno.	1.4
main-captions	MSRvid	En hund skäller på en boll.	En hund simmar efter en tennisboll.	1.5
main-captions	MSRvid	Ett barn springer bort från en fisk som svänger runt på en fiskstång.	Ett litet barn springer runt en fiskstång.	2.5
main-captions	MSRvid	En man går längs en stig genom vildmarken.	En man går på en väg.	2.5
main-captions	MSRvid	En äldre man talar vid ett podium.	En man håller tal på pallen.	3.5
main-captions	MSRvid	En man som rider på en häst i ultrarapid.	En man rider på en häst.	3.4
main-captions	MSRvid	En person skär en del burrataost.	Personen skivar ost.	3.8
main-captions	MSRvid	Mannen skjuter på en automatisk gevär.	En man skjuter på en pistol.	3.8
main-captions	MSRvid	En man krossar vitlök med baksidan av en kniv.	En kvinna skivar kött med en kniv.	1.5
main-captions	MSRvid	En kvinna arkiverar naglarna med en skivbräda.	En kvinna matar sitt barn med en flaska.	0.5
main-captions	MSRvid	En man rider på en skateboard.	En kvinna skär en potatis.	0.0
main-captions	MSRvid	En kvinna tar en dusch.	En man rider på en vit häst.	0.0
main-captions	MSRvid	En man dansar.	En man rider på en häst.	0.8
main-captions	MSRvid	En man roddar en båt.	En man skjuter av en pistol.	0.85
main-captions	MSRvid	En man svänger från ett rep fäst vid taket.	En man svänger på ett rep.	3.4
main-captions	MSRvid	En kvinna rider på en häst på en strand.	En man bär en annan man på ryggen.	0.4
main-captions	MSRvid	En man har ett litet djur i ena handen.	En man visar upp en liten apa.	1.75
main-captions	MSRvid	En person viker ett fyrkantigt pappersstycke.	En man fälls papper.	3.25
main-captions	MSRvid	En person stekar kött i en stekpanna.	En person håller ett skunk.	0.75
main-captions	MSRvid	En schimpans skadar en kvinna.	En man kör en bil.	0.0
main-captions	MSRvid	Kvinnan skalar räkor.	Mannen håller en lemur.	0.0
main-captions	MSRvid	Två zebror spelar.	Zebror umgås.	4.25
main-captions	MSRvid	En kvinna skivar smör.	En kvinna skivar tofu.	1.8
main-captions	MSRvid	Vissa män spelar gitarrer.	Tre män spelar gitarrer och sjunger tillsammans.	3.2
main-captions	MSRvid	Elefanterna sprayade vatten på sig själva.	Elefanter sprayar sig med vatten.	3.6
main-captions	MSRvid	En hund satt vid disken i en butik.	Hunden står vid disken.	2.6
main-captions	MSRvid	Någon borrar ett hål i en remsa av trä med en kraftborr.	En man borrar ett hål i ett trästycke.	3.2
main-captions	MSRvid	En kvinna skivar några grönsaker.	Kvinnan tärnar vitlök.	2.8
main-captions	MSRvid	En grävling gräver ett hål.	En grävling gräver jorden.	4.6
main-captions	MSRvid	En kvinna är vattenskidåkning på en sjö.	En man spelar en flöjt.	0.0
main-captions	MSRvid	En flicka spelar en fiol.	En baby skrattar och fnissar.	0.25
main-captions	MSRvid	En helikopter landar på en helipad.	En helikopter landar.	3.923
main-captions	MSRvid	En kvinna skär upp en kyckling.	En kvinna skivar kött.	2.75
main-captions	MSRvid	En kvinna skär en gurka.	En man spelar en gitarr.	0.0
main-captions	MSRvid	En kvinna rider en elefant framför en älskande folkmassa.	En kvinna rider en elefant.	3.0
main-captions	MSRvid	En valp glider bakåt längs golvet.	En valp driver sig själv bakåt.	3.8
main-captions	MSRvid	En kvinna delar upp vitlöksklyftor.	En kvinna bryter ett vitlökhuvud i kryddnejlikor.	4.6
main-captions	MSRvid	En hund tittar in i poolen.	En hund går längs kanten av en pool.	2.6
main-captions	MSRvid	En kvinna blandar en skönhetsbehandling i ett glas.	En kvinna blandar en kräm i ett glas med en sked.	3.6
main-captions	MSRvid	En man ritar en bild.	En person ritar.	3.6
main-captions	MSRvid	En kvinna plockar tomater.	En kvinna häller smeten i en skål.	1.0
main-captions	MSRvid	En man tittar på en datorskärm.	En man använder en bärbar dator.	2.75
main-captions	MSRvid	Pojken rider på en trehjuling.	En kvinna rider på en vattenscooter.	1.25
main-captions	MSRvid	Två män tävlar i ett däck som rullar.	Två personer vippade traktordäck i ett lopp.	2.75
main-captions	MSRvid	En person skär ett kött.	En person som rider på en mekanisk tjur	0.0
main-captions	MSRvid	En man spelar en fiol.	En kvinna använder en symaskin.	0.0
main-captions	MSRvid	Barnet krypte genom dörren.	En baby kryper över golvet.	2.4
main-captions	MSRvid	En man spelar tangentbordet.	En person spelar ett piano.	2.2
main-captions	MSRvid	En man luktar två pizzor.	En kvinna matar en man.	0.2
main-captions	MSRvid	En apa drar i hundens svans.	En apa retar en hund i djurparken.	2.8
main-captions	MSRvid	En hund ligger på ryggen på trägolvet.	En hund lägger sig på golvet.	4.0
main-captions	MSRvid	En kvinna steker något i pannan.	En man spelar sin gitarr.	0.0
main-captions	MSRvid	En man lägger krydda i en skål med vatten.	Mannen lade krydda till vatten i en skål.	5.0
main-captions	MSRvid	En äldre kvinna häller olja i en stekpanna.	En bunden man lägger i vatten.	0.0
main-captions	MSRvid	En kvinna hugger en lök.	En kvinna skär delvis i hälften av en lök.	3.2
main-captions	MSRvid	Kvinnan plockade upp känguru.	En kvinna bär en känguru.	3.5
main-captions	MSRvid	En hund som biter på en burk.	En hund öppnar en burk med mat.	1.75
main-captions	MSRvid	En kvinna avlägger en fisk.	En man fångar en fisk.	1.25
main-captions	MSRvid	En man klipper gräs.	En man stänger betong.	0.833
main-captions	MSRvid	En katt tittar på en TV.	En man skar en ledighet.	0.0
main-captions	MSRvid	Pojken sitter fast i dörren till hundhuset.	Ett barn sitter fast i ett hundhus.	3.75
main-captions	MSRvid	Människor bläddrar i en pool.	Män faller i en pool.	2.75
main-captions	MSRvid	En kvinna simmar under vattnet.	En kvinna simmar.	3.8
main-captions	MSRvid	En man spelar en gitarr.	En kvinna dansar.	0.2
main-captions	MSRvid	Ett flygplan flyger i luften.	Ett South African Airways-plan flyger i en blå himmel.	3.4
main-captions	MSRvid	En björn springer från två hundar.	En björn kämpar vargar.	1.4
main-captions	MSRvid	En kvinna vilar i en flytande flotte.	En kvinna kopplar av i ett inre rör.	3.8
main-captions	MSRvid	En man dör i ett operationsrum.	En man kysser en kvinna i scenen.	0.4
